city;postalCode;street;streetNumber
Guayanilla;NZ16 4CG;48134  Greece Way;16
Truth or Consequences;AH74 9SG;60554 East Belarus Ct.;960
Bakersfield;UE80 7PW;16634  China Ct.;839
Agawam;ZV46 2SR;72542 North Turkey Ln.;932
Hampton;BV42 6JF;3847 North Elizabeth City St.;28
Lufkin;PH7 3OP;84783 West Honduras Ave.;829
Chino;IO16 4GP;77846 North Antarctica Ln.;436
White Plains;PJ64 0EU;46515 South Bermuda Ave.;544
Moline;RQ92 3KM;56573 North Egypt Ave.;696
Cairo;RA85 3CC;94330 East Cayman Islands St.;973
Berkeley;HX84 7YO;37077 North Hastings Ln.;787
Biloxi;YO0 8YR;52138 East Finland Way;850
Longview;JJ29 9LP;7270  Guatemala St.;33
Scottsdale;QF25 9IF;60578 North Bosnia and Herzegovina Ave.;605
Delta Junction;AP67 7LL;11098 North Jenks St.;986
Mandan;UF11 5VN;91825 East Christmas Island Ave.;901
Attleboro;YV53 0BB;10045 South Kearns Blvd.;54
Goose Creek;DJ45 4AD;43946 South Ireland Ave.;418
Nichols Hills;UK45 1AK;46470 West Jamaica St.;19
West Bend;CC63 0IV;99929 South Cayman Islands Ave.;233
Gardena;ND76 1QZ;46140 West Belarus Ave.;990
Davis;CC54 7CG;79628 West Niue Ave.;462
Cary;FL22 6WF;81156 West Saint Vincent and The Grenadines Ave.;905
Erie;IE50 2ZP;42419 West Christmas Island Ave.;536
Dubuque;CN54 0OV;5374 North Akron Ln.;504
Hartford;GW42 1GU;50219 North Lesotho Ave.;352
Cary;RH57 8AL;4770 West Sao Tome and Principe Blvd.;339
St. George;HX96 4XZ;54017 West Bozeman Blvd.;44
Spokane Valley;ME59 6DL;89844 South Qatar Ln.;309
Westlake Village;NZ36 6PN;63516 North Bermuda Ave.;357
Auburn Hills;AF29 6TV;21756  Atwater Way;910
Saint Joseph;YZ40 9WJ;93253 North Bahamas St.;899
Parkersburg;LG84 1LA;97735 East Birmingham Ct.;141
Lexington;PE4 2TT;16522 East Kenner Ln.;907
Watervliet;EM30 5WY;90382 North Thailand Blvd.;750
Gardena;AF21 5XC;80402  San Marino St.;380
Chandler;IO49 5RZ;33925 South Charleston Way;78
Mount Vernon;BB31 4CG;22298 East Brunswick Ave.;264
Haverhill;CN70 2DQ;86625 South Angola Ln.;88
Catskill;UH18 4JR;61163 West Hong Kong Ct.;568
Elko;OQ57 4NG;93207 North Falkland Islands (Malvinas) Ct.;435
Newport News;EQ34 2DK;61714 North Afghanistan Ln.;42
Fremont;YK84 6DC;3220 North Paraguay Blvd.;329
West Covina;DR69 3YM;77886 North Orlando Blvd.;71
Boulder;FL34 4NV;8162 South Fairfax St.;736
Gary;GL2 5OO;14846 South Algeria St.;86
Stamford;VU20 5TN;17922 South Greenfield Ct.;929
Alpharetta;OP67 7MB;43206 West Yemen Ct.;658
Fremont;CL44 1IH;23820  Anaconda Way;67
Reedsport;HE11 5XI;65785 West Ephraim Ct.;575
Williamsport;DA45 6QN;48278 South Belgium Way;88
Alameda;RH29 8WK;74239 West Ethiopia Way;947
